variable,lambda,kappa
model,0.8466723068903647,0.42323407168175864
model,0.700772191374622,0.3157129875742246
model,0.8542231951330288,0.36065563976371157
model,0.6564726522823922,0.25868206373625885
model,0.9267392115889155,0.5181117974616242
model,0.8720047329482824,0.5562304161262629
model,0.6651895942389084,0.2423199188733875
model,0.7463020586439596,0.3163604116650253
model,0.6675865664485483,0.321376097036982
model,0.6875092548482123,0.2676707313849705
model,0.7271446836268365,0.3491506286088424
model,0.5377929323133733,0.2254617680717018
model,0.7677158420784032,0.35456849082182645
model,0.7053869956120722,0.3399402517157062
model,0.7590601157221577,0.3959555898548268
model,0.7201610753716238,0.29534708518464403
model,0.8082701953231722,0.2925887744495154
model,0.940955324706179,0.49384822524449523
model,0.8723912540144658,0.366460738698538
model,0.7765854699376784,0.4172292804786489
model,0.721196677036773,0.3513454859194426
model,0.7934380253178658,0.24971762394759023
model,0.6194756501546221,0.31775850831954444
model,0.7970142364021781,0.4303870799824871
model,0.9492115615218939,0.5457709882544669
model,0.9560166457478543,0.7191783259639559
model,0.7823939933570793,0.3340617006302518
model,0.9052313522755405,0.4178088009638464
model,0.6309203508191551,0.2122992034649264
model,0.48360409190495407,0.30419890507687003
model,0.7267256489338169,0.2919733900370163
model,0.4675938764086033,0.23280908090591762
model,0.6693823710740673,0.34150819402919524
model,0.9059581934271216,0.4897706717349924
model,0.6213605327294086,0.31326085466217907
model,0.873942783630132,0.45617707843172006
model,0.33857224218779736,0.23604331573131104
model,0.6345540571560782,0.2717366575351709
model,0.9207544419649847,0.6358419720929771
model,0.8058838867493335,0.3168530220461548
model,0.8344272699306008,0.31345907159261144
model,0.7210435802310563,0.31664617360709124
model,0.7316025846680977,0.3739271424806477
model,0.4996066839777148,0.22473005090857667
model,0.7120580805582207,0.30030156901848465
model,0.8094220187892718,0.4310719994752621
model,0.5427598106793562,0.2603785231146586
model,0.6229461553005632,0.2775421637108548
model,0.885259548888563,0.4841699610441053
model,0.765674439222065,0.36574971051349
model,0.7569650443461786,0.4517150863772775
model,0.8808404532698022,0.39617744427177576
model,0.6761120543677198,0.29182065562599185
model,0.965913711914224,0.566960967668558
model,0.5806195005475645,0.26238534857217694
